behold;kategori;navn;mw;gwh;sone;eier;kommune;lon;lat;vannkvtype
JA;magasin;Kvilldal;1240.0;3230.895;NO2;STATKRAFT ENERGI AS;Suldal;6.658840;59.526996;Kraftverk
JA;magasin;Tonstad;960.0;4057.575;NO2;SIRA KVINA KRAFTSELSKAP;Sirdal;6.728764;58.658435;Kraftverk
JA;magasin;Aurland 1;840.0;2099.408;NO5;HAFSLUND KRAFT AS;Aurland;7.300772;60.852477;Kraftverk
JA;magasin;Saurdal;640.0;1063.719;NO2;STATKRAFT ENERGI AS;Suldal;6.691061;59.480776;Pumpekraftverk
JA;magasin;Sy-Sima;620.0;1637.126;NO5;STATKRAFT ENERGI AS;Eidfjord;7.140822;60.507122;Kraftverk
JA;magasin;Svartisen;600.0;2424.145;NO4;STATKRAFT ENERGI AS;Meløy;13.931334;66.724522;Kraftverk
JA;magasin;Lang-Sima;500.0;1252.469;NO5;STATKRAFT ENERGI AS;Eidfjord;7.140496;60.507235;Kraftverk
JA;magasin;Rana;500.0;2223.737;NO4;STATKRAFT ENERGI AS;Rana;14.270375;66.295093;Kraftverk
JA;magasin;Tokke;430.0;2396.042;NO2;STATKRAFT ENERGI AS;Tokke;8.040321;59.445573;Kraftverk
JA;magasin;Tyin;374.0;1462.391;NO5;HYDRO ENERGI AS;Årdal;7.849978;61.297121;Kraftverk
JA;magasin;Lysebotn II;370.0;1475.707;NO2;LYSE KRAFT DA;Sandnes;6.632268;59.065339;Kraftverk
JA;magasin;Nedre Røssåga;350.0;2050.247;NO4;STATKRAFT ENERGI AS;Hemnes;13.773489;66.05216;Kraftverk
JA;elv;Vamma;344.0;1565.42;NO1;HAFSLUND KRAFT AS;Indre Østfold;11.171058;59.541475;Kraftverk
JA;magasin;Brokke;330.0;1600.745;NO2;OTRA KRAFT DA;Valle;7.506284;59.124732;Kraftverk
JA;magasin;Evanger;330.0;1303.199;NO5;EVINY FORNYBAR AS;Voss;6.118656;60.662184;Kraftverk
JA;magasin;Nedre Vinstra;308.0;1176.982;NO1;HAFSLUND KRAFT AS;Nord-Fron;9.792883;61.564573;Kraftverk
JA;magasin;Kobbelv;300.0;765.643;NO4;STATKRAFT ENERGI AS;Sørfold;16.007076;67.621621;Kraftverk
JA;magasin;Skjomen;300.0;1340.606;NO4;STATKRAFT ENERGI AS;Narvik;17.365844;68.201084;Kraftverk
JA;magasin;Vinje;300.0;1105.342;NO2;STATKRAFT ENERGI AS;Vinje;7.85391;59.625558;Kraftverk
JA;magasin;Aura;290.0;1754.149;NO3;STATKRAFT ENERGI AS;Sunndal;8.514705;62.664099;Kraftverk
JA;magasin;Jostedal;288.0;932.114;NO5;STATKRAFT ENERGI AS;Luster;7.30862;61.520844;Kraftverk
JA;magasin;Aurland 3;270.0;94.476;NO5;HAFSLUND KRAFT AS;Aurland;7.571414;60.798119;Pumpekraftverk
JA;magasin;Skagen;270.0;1447.679;NO5;HYDRO ENERGI AS;Luster;7.706695;61.50462;Kraftverk
JA;magasin;Mauranger;250.0;1345.146;NO5;STATKRAFT ENERGI AS;Kvinnherad;6.337446;60.127566;Kraftverk
JA;magasin;Nes;250.0;1421.242;NO5;HAFSLUND KRAFT AS;Nesbyen;9.064855;60.603383;Kraftverk
JA;magasin;Blåfalli Vik;230.0;806.754;NO2;SUNNHORDLAND KRAFTLAG AS;Kvinnherad;5.994158;59.844033;Kraftverk
JA;elv;Fellesanlegget Kykkelsrud-Fossumfoss;230.0;1233.026;NO1;HAFSLUND KRAFT AS;Indre Østfold;11.101026;59.579875;Kraftverk
JA;magasin;Holen I-II;230.0;682.181;NO2;OTRA KRAFT DA;Bykle;7.248001;59.353104;Kraftverk
JA;magasin;Tysso II;224.0;1117.591;NO2;STATKRAFT ENERGI AS;Ullensvang;6.641975;60.129893;Kraftverk
JA;magasin;Sønnå H;212.4;1032.05;NO2;Aktieselskabet Saudefaldene;Sauda;6.378893;59.639788;Kraftverk
JA;magasin;Borgund;212.0;1068.73;NO5;ØSTFOLD ENERGI AS;Lærdal;7.83285;61.058573;Kraftverk
JA;magasin;Skjerka;206.6;764.516;NO2;Å ENERGI VANNKRAFT AS;Åseral;7.367315;58.55809;Kraftverk
JA;magasin;Nore I;206.0;1164.664;NO5;STATKRAFT ENERGI AS;Nore og Uvdal;8.960341;60.267063;Kraftverk
JA;magasin;Oksla;206.0;1081.607;NO2;STATKRAFT ENERGI AS;Ullensvang;6.568891;60.125869;Kraftverk
JA;magasin;Usta;205.22;896.913;NO5;HAFSLUND KRAFT AS;Ål;8.410292;60.567355;Kraftverk
JA;magasin;Vemork;204.0;1280.288;NO2;HYDRO ENERGI AS;Tinn;8.493688;59.869473;Kraftverk
JA;elv;Solbergfoss;201.0;1048.157;NO1;HAFSLUND KRAFT AS;Indre Østfold;11.155106;59.636604;Kraftverk
JA;magasin;Duge;200.0;206.053;NO2;SIRA KVINA KRAFTSELSKAP;Sandnes;6.892182;59.128898;Pumpekraftverk
JA;magasin;Solhom;200.0;729.683;NO2;SIRA KVINA KRAFTSELSKAP;Kvinesdal;7.012966;58.775694;Kraftverk
JA;magasin;Såheim;189.0;1121.36;NO2;HYDRO ENERGI AS;Tinn;8.592999;59.87662;Kraftverk
JA;magasin;Matre H;180.0;671.27;NO5;EVINY FORNYBAR AS;Masfjorden;5.596914;60.870082;Kraftverk
JA;magasin;Mår;180.0;1146.08;NO2;STATKRAFT ENERGI AS;Tinn;8.673882;59.885353;Kraftverk
JA;magasin;Siso;180.0;935.24;NO4;SISO ENERGI AS;Sørfold;15.722386;67.323136;Kraftverk
JA;magasin;Suldal I;180.0;1086.353;NO2;LYSE KRAFT DA;Suldal;6.821646;59.652459;Kraftverk
JA;magasin;Tunnsjødal;176.0;839.993;NO4;NTE ENERGI AS;Namsskogan;12.837529;64.702632;Kraftverk
JA;magasin;Nea;175.0;662.766;NO3;STATKRAFT ENERGI AS;Tydal;11.703233;63.032077;Kraftverk
JA;magasin;Øvre Røssåga;175.0;988.987;NO4;STATKRAFT ENERGI AS;Hemnes;13.800971;65.886342;Kraftverk
JA;magasin;Steinsland;170.0;802.572;NO5;EVINY FORNYBAR AS;Modalen;5.985186;60.923337;Kraftverk
JA;magasin;Røldal;166.0;889.037;NO2;LYSE KRAFT DA;Ullensvang;6.818589;59.818548;Kraftverk
JA;magasin;Holen III;160.0;341.786;NO2;OTRA KRAFT DA;Bykle;7.248001;59.353104;Kraftverk
JA;magasin;Hylen;160.0;623.826;NO2;STATKRAFT ENERGI AS;Suldal;6.602348;59.557856;Kraftverk
JA;magasin;Alta;153.0;738.287;NO4;STATKRAFT ENERGI AS;Alta;23.795685;69.717929;Kraftverk
JA;magasin;Matre M;150.0;779.748;NO5;EVINY FORNYBAR AS;Masfjorden;5.593398;60.872759;Kraftverk
JA;magasin;Suldal II;150.0;738.577;NO2;LYSE KRAFT DA;Suldal;6.821756;59.652283;Kraftverk
JA;magasin;Torpa;150.0;420.524;NO1;HAFSLUND KRAFT AS;Nordre Land;10.031805;61.006583;Kraftverk
JA;magasin;Åna-Sira;150.0;641.908;NO2;SIRA KVINA KRAFTSELSKAP;Flekkefjord;6.453224;58.293747;Kraftverk
;;Dale II;147.0;686.258;NO5;EVINY FORNYBAR AS;Vaksdal;5.823958;60.582054;Kraftverk
;;Grytten;143.5;518.117;NO3;STATKRAFT ENERGI AS;Rauma;7.776158;62.500661;Kraftverk
;;Driva;140.0;581.302;NO3;DRIVA KRAFTVERK DA;Sunndal;8.893701;62.62726;Kraftverk
;;Øvre Vinstra;140.0;639.881;NO1;HAFSLUND KRAFT AS;Nord-Fron;9.308262;61.479605;Kraftverk
